Step,Action,Price,Cash,BTC,BTC_Value,Total
286,1,58446.09,73826.22,16,935137.50,1008963.72
287,1,58458.73,73826.22,16,935339.62,1009165.85
288,1,58456.43,73826.22,16,935302.94,1009129.16
289,1,58456.43,73826.22,16,935302.94,1009129.16
290,1,58451.82,73826.22,16,935229.19,1009055.41
291,1,58449.50,73826.22,16,935191.94,1009018.16
292,1,58449.41,73826.22,16,935190.62,1009016.85
293,1,58446.48,73826.22,16,935143.75,1008969.97
294,1,58449.50,73826.22,16,935191.94,1009018.16
295,-1,58450.66,1944245.91,-16,-935210.50,1009035.41
296,1,58440.67,74143.11,16,935050.75,1009193.86
297,1,58443.64,74143.11,16,935098.31,1009241.42
298,1,58440.32,74143.11,16,935045.06,1009188.17
299,1,58446.89,74143.11,16,935150.25,1009293.36
300,1,58414.00,74143.11,16,934623.94,1008767.04
301,1,58414.00,74143.11,16,934623.94,1008767.04
302,1,58414.00,74143.11,16,934623.94,1008767.04
303,1,58414.00,74143.11,16,934623.94,1008767.04
304,1,58414.00,74143.11,16,934623.94,1008767.04
305,1,58406.68,74143.11,16,934506.81,1008649.92
306,1,58388.84,74143.11,16,934221.44,1008364.54
307,1,58387.79,74143.11,16,934204.56,1008347.67
308,1,58387.59,74143.11,16,934201.50,1008344.61
309,1,58387.59,74143.11,16,934201.50,1008344.61
310,1,58387.79,74143.11,16,934204.56,1008347.67
311,1,58405.80,74143.11,16,934492.88,1008635.98
312,1,58442.02,74143.11,16,935072.38,1009215.48
313,1,58414.23,74143.11,16,934627.62,1008770.73
314,1,58415.09,74143.11,16,934641.38,1008784.48
315,1,58401.80,74143.11,16,934428.88,1008571.98
316,1,58393.07,74143.11,16,934289.06,1008432.17
317,1,58391.32,74143.11,16,934261.12,1008404.23
318,-1,58380.70,1942324.17,-16,-934091.19,1008232.99
319,1,58372.18,74412.99,16,933954.94,1008367.93
320,1,58370.00,74412.99,16,933919.94,1008332.93
321,1,58373.50,74412.99,16,933976.06,1008389.05
322,1,58401.80,74412.99,16,934428.88,1008841.87
323,1,58422.61,74412.99,16,934761.81,1009174.80
324,1,58388.32,74412.99,16,934213.06,1008626.05
325,1,58361.71,74412.99,16,933787.44,1008200.43
326,1,58367.96,74412.99,16,933887.44,1008300.43
327,1,58376.45,74412.99,16,934023.25,1008436.24
328,1,58384.52,74412.99,16,934152.25,1008565.24
329,1,58392.73,74412.99,16,934283.75,1008696.74
330,1,58383.55,74412.99,16,934136.75,1008549.74
331,1,58364.23,74412.99,16,933827.62,1008240.62
332,1,58400.00,74412.99,16,934399.94,1008812.93
333,1,58400.00,74412.99,16,934399.94,1008812.93
334,1,58400.00,74412.99,16,934399.94,1008812.93
335,1,58408.00,74412.99,16,934527.94,1008940.93
336,1,58409.80,74412.99,16,934556.75,1008969.74
337,1,58416.86,74412.99,16,934669.69,1009082.68
338,1,58416.86,74412.99,16,934669.69,1009082.68
339,1,58416.86,74412.99,16,934669.69,1009082.68
340,1,58463.04,74412.99,16,935408.56,1009821.55
341,1,58463.04,74412.99,16,935408.56,1009821.55
342,1,58463.04,74412.99,16,935408.56,1009821.55
343,1,58459.93,74412.99,16,935358.81,1009771.80
344,1,58463.02,74412.99,16,935408.25,1009821.24
345,1,58463.02,74412.99,16,935408.25,1009821.24
346,1,58463.02,74412.99,16,935408.25,1009821.24
347,1,58455.50,74412.99,16,935287.94,1009700.93
348,1,58465.96,74412.99,16,935455.44,1009868.43
349,1,58459.70,74412.99,16,935355.25,1009768.24
350,1,58458.04,74412.99,16,935328.56,1009741.55
351,1,58458.04,74412.99,16,935328.56,1009741.55
352,1,58471.23,74412.99,16,935539.62,1009952.62
353,1,58473.84,74412.99,16,935581.38,1009994.37
354,1,58495.57,74412.99,16,935929.06,1010342.05
355,1,58497.48,74412.99,16,935959.75,1010372.74
356,1,58497.48,74412.99,16,935959.75,1010372.74
357,1,58498.73,74412.99,16,935979.62,1010392.62
358,1,58494.66,74412.99,16,935914.50,1010327.49
359,1,58493.62,74412.99,16,935898.00,1010310.99
360,1,58498.11,74412.99,16,935969.69,1010382.68
361,1,58553.39,74412.99,16,936854.31,1011267.30
362,1,58545.84,74412.99,16,936733.38,1011146.37
363,1,58561.21,74412.99,16,936979.44,1011392.43
364,1,58563.41,74412.99,16,937014.50,1011427.49
365,1,58579.38,74412.99,16,937270.00,1011682.99
366,1,58577.18,74412.99,16,937234.94,1011647.93
367,1,58599.98,74412.99,16,937599.75,1012012.74
368,1,58599.98,74412.99,16,937599.75,1012012.74
369,1,58620.00,74412.99,16,937919.94,1012332.93
370,1,58626.00,74412.99,16,938016.06,1012429.05
371,1,58644.57,74412.99,16,938313.19,1012726.18
372,1,58644.57,74412.99,16,938313.19,1012726.18
373,1,58606.05,74412.99,16,937696.88,1012109.87
374,1,58562.71,74412.99,16,937003.44,1011416.43
375,1,58575.18,74412.99,16,937202.81,1011615.80
